"nom","adresse","cp","ville"
"BIOSAVEURS  COUTANCES","8  RUE DES GLACIERES
ZI  AUBERGE DE LA MARE","50200","COUTANCES"
"BIOSAVEURS  YQUELON","788  AVENUE DE L'EUROPE","50400","YQUELON  GRANVILLE"
"EUREA COOP ( GAMM VERT  BRIVES CHARENSAC )","ROUTE DE ST ETIENNE","42110","FEURS"
"EUREA  COOP ( GAMM VERT  MONTBRISON )","ROUTE DE ST ETIENNE","42110","FEURS"
"SARL   AMBIAN SPA","7 RUE DORIAN","42700","FIRMINY"
"LA MAISON DU BIO EURL","ZAC La Molière Basse","81200","MAZAMET"
"SARL LOGIQUE BIO ( LA VIE CLAIRE PONT DE BEAUVOISIN )","Z.I LA BARONNIE
CENTRE COMMERCIAL LE CHALET","73330","PONT DE BEAUVOISIN"
"LE GRAND MARCHE BIO  ( LA VIE CLAIRE  FURIANI )","ROUTE DU STADE DE FURIANI","20600","FURIANI  CORSE"
"LA VIE CLAIRE CROIX ROUSSE","PLACE JOANNES AMBRE","69004","LYON"
"SARL  EURL DE VITRY  ( GAMM VERT VITRY EN CHAROLLAIS )","ROUTE DE ST ETIENNE","42110","FEURS"
"BIOTHENTIK","15 Allée de l'Europe","67140","BARR"
"MARCEL ET FILS ( ISTRES )","26 chemin  Bord de Crau","13800","ISTRES"
"RETOUR   AUX  SOURCES","18 BIS  PLACE  JEAN  JAURES","77140","NEMOURS"
"LA VIE CLAIRE","ROUTE DE MARSEILLE","13300","SALON DE PROVENCE"
"VILLAVERDE (SARL LES AMARYLIS  VILBEL)","1 RUE DE BAD VILBEL","03000","MOULINS"
"BIOCOOP L'OUSTAL  SARL","81 ROUTE DE PARIS","31150","FENOUILLET"
"BIOCOOP - SARL BIO MINIMES","4 Avenue Frederic Estebe","31200","TOULOUSE"
"LA MAISON VITALE","31 AVENUE DE LA DIVISION LECLERC","67120","DORLISHEIM"
"LA VIE CLAIRE ( OULLINS  )","70  GRANDE RUE","69600","OULLINS"
"KI VIE BIO","408 AVENUE DE FRONTON","31200","TOULOUSE"
"LA VIE CLAIRE ( VILLEURBANNE )","134 rue DEDIEU","69100","VILLEURBANNE"
"BIO'NAT -  CROQ'NATURE","330 AVENUE DES GLIERES","74300","CLUSES"
"LA VIE CLAIRE  (SGD EXPLOITATION )","2 PLACE DU CHAMP DE MARS","38300","BOURGOIN JALLIEU"
"MERVEILLES DE LA NATURE *","1 RUE HENRI MATISSE","52000","CHAUMONT"
"1 COIN DE NATURE","ZONE COMMERCIALE","51530","PIERRY"
"LA VIE CLAIRE","25 RUE FREPPAZ","73700","SEEZ"
"Magasin Bio  PLASSE","Z.I  Av. de la Republique","63160","BILLOM"
"LA VIE CLAIRE ( BAMBOO -MADA )","Z.A LES MOLETONS","43120","MONISTROL SUR LOIRE"
"DISTRIBIO  ( EURL ANANDA )","7 rue de la Republique","34140","MEZE"
"NATUREL & BIO","1809 Av  Mal JUIN","30900","NIMES"
"BIOCOOP LA CHARTREUSE","2 RUE HENRY LE CHATELIER","81100","CASTRES"
"LA VIE CLAIRE  LYON SAXE","123 AVENUE DE SAXE","69003","LYON"
"FLEURS ET NATURE","3 ALLEE AUGUSTE BERNARD
ZAC DES GRANGES","42600","MONTBRISON"
"LES SAVONNERIES DU SOLEIL","39 QUAI COLBERT","30240","LE GRAU DU ROI"
"LA MAISON DU SAVON DE MARSEILLE (SARL LORANDI )","40 ALLEE DE LA FLANERIE","34300","CAP D'AGDE"
"BIOCOOP  L' EPHEBIO","Route de SETE   ZC Intermarché
 Les Portes du littoral","34300","AGDE"
"NATURALIA","TSA 73002
14/16  RUE Marc Bloch","92116","CLICHY CEDEX"
"ALPILLES BIO (SARL MADRE BIO )","23AVENUE ALBIN GILLES","13210","ST REMY DE PROVENCE"
"SATORIZ","Z.A LES BLANCHISSERIES","38500","VOIRON"
"SYMBIO'Z","36 ROUTE DE CHARTRES","28500","VERNOUILLET"
"SARL   BIO DE LUZ","210 ROUTE  DEPARTEMENTALE 810","64122","URRUGNE"
"BIOCOOP ST MARCELLIN","ZC  LA GLORIETTE","38160","SAINT MARCELLIN"
"NATUREL   ET   BIO","179 ROUTE DE MARSEILLE","26200","MONTELIMAR"
"HERBORISTERIE  LES DEUX ABBES","2 COURS J . JAURES","03210","SOUVIGNY"
"Mme DENOYER  LAELA","561 bd de CHABRY","83190","SIX FOURS LES PLAGES"
"LA VIE CLAIRE   POINT DU JOUR","87 Avenue du Point du Jour","69005","LYON"
"RAYONS VERTS","Avenue du 14 JUILLET","18100","VIERZON"
"LA VIE CLAIRE","CHEMIN DE L'ARDILLAT","18100","VIERZON"
"LE FERMIER (  NATUROD   )","131 Bd  de CRETEIL","94100","ST MAUR DES FOSSES"
"LA VIE CLAIRE","38 COURS BERRIAT","38000","GRENOBLE"
